,Restaurant,Latitude,Longitude,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Cook_Time
24,ID_4751,39.17216717,-85.13841279,"North Indian, Chinese, Fast Food",15.0,50.0,3.2,4.0,1.0,30
25,ID_4944,39.33152871,-85.59425749,"Desserts, Ice Cream",10.0,50.0,,,,45
26,ID_7029,39.35372398,-85.72067562,"North Indian, Chinese",10.0,99.0,3.7,110.0,38.0,45
27,ID_6769,39.15068439,-85.84951567,"Fast Food, South Indian, Street Food",15.0,50.0,3.2,15.0,9.0,45
28,ID_5547,39.90737096,-85.77399833,North Indian,15.0,50.0,3.3,44.0,19.0,45
29,ID_1957,39.25831369,-85.34571572,"North Indian, Chinese",20.0,50.0,3.8,18.0,18.0,30
30,ID_425,39.73309187,-85.99816833,North Indian,15.0,50.0,3.2,18.0,7.0,30
31,ID_4965,39.04356204,-85.48927318,"Cafe, Mexican, Japanese, Italian, Chinese",40.0,50.0,4.0,189.0,132.0,30
32,ID_5192,39.27094825,-85.87305721,"Bakery, Fast Food, Rolls, Beverages",20.0,50.0,3.1,279.0,74.0,45
33,ID_6079,39.25619902,-85.99034723,"North Indian, Chinese",35.0,99.0,3.3,22.0,13.0,45
34,ID_3069,39.12420165,-85.93904552,North Indian,10.0,50.0,4.0,581.0,111.0,30
35,ID_1160,39.24628894,-85.15291546,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",60.0,50.0,4.7,914.0,499.0,45
36,ID_4494,39.37648495,-85.82867796,Street Food,10.0,50.0,3.4,23.0,7.0,30
37,ID_2139,39.40411112,-85.26715519,"Fast Food, South Indian",10.0,50.0,3.6,105.0,53.0,30
38,ID_332,39.62969093,-85.16622409,"Pizza, Fast Food",20.0,50.0,3.5,305.0,29.0,45
39,ID_1209,39.54322828,-85.30579037,"Cafe, Desserts",30.0,50.0,3.6,54.0,34.0,30
40,ID_5285,39.01000957,-85.86389745,"Mughlai, North Indian",20.0,50.0,4.0,1408.0,851.0,45
41,ID_7544,39.49198127,-85.74235762,"Desserts, Beverages",15.0,50.0,4.1,806.0,513.0,45
42,ID_7299,39.04229877,-85.89778192,"Bakery, Desserts, Beverages",15.0,50.0,3.7,41.0,22.0,30
43,ID_4154,39.33423916,-85.7847045,South Indian,10.0,50.0,3.7,100.0,27.0,45
44,ID_3869,39.55719429,-85.0490149,North Indian,20.0,50.0,3.6,106.0,32.0,30
45,ID_6868,39.33905711,-85.11733849,"North Indian, Street Food",20.0,50.0,3.8,37.0,25.0,30
46,ID_1641,39.23335694,-85.15432866,"North Indian, Chinese",20.0,50.0,3.4,45.0,37.0,30
47,ID_2809,39.96341957,-85.49460268,Chinese,20.0,50.0,,,,30
48,ID_5022,39.97170279,-85.73759102,"Chinese, Fast Food",20.0,99.0,3.5,63.0,8.0,45
49,ID_4866,39.10785293,-85.99409462,Lucknowi,20.0,50.0,,,,30
50,ID_6857,39.86886292,-85.40162847,"South Indian, North Indian",15.0,50.0,3.1,253.0,35.0,30
51,ID_3429,39.31408607,-85.33092024,"Biryani, Chinese",15.0,50.0,3.2,4.0,4.0,30
52,ID_1521,39.61635616,-85.77939082,"Tea, Fast Food",10.0,50.0,3.3,12.0,6.0,30
53,ID_5090,39.79155572,-85.19682518,"Fast Food, Italian, Beverages",20.0,50.0,3.9,327.0,173.0,45
54,ID_348,39.29536284,-85.4130969,"North Indian, Beverages",25.0,50.0,3.4,49.0,36.0,30
55,ID_1443,39.15300254,-85.83125677,Fast Food,10.0,50.0,3.3,11.0,1.0,30
56,ID_8281,39.73816993,-85.98774145,"Street Food, Fast Food, North Indian",15.0,50.0,2.9,8.0,5.0,45
57,ID_4562,39.246060899999996,-85.24840142,Chinese,25.0,50.0,3.8,19.0,15.0,30
58,ID_156,39.21416154,-85.42028542,"Rolls, Chinese",10.0,50.0,3.7,18.0,6.0,30
59,ID_5570,39.91202387,-85.20009258,"South Indian, Chinese, Street Food",10.0,50.0,3.1,7.0,2.0,30
60,ID_8368,39.24761498,-85.74017071,"North Indian, Mangalorean",35.0,50.0,3.5,16.0,8.0,45
61,ID_294,39.68082251,-85.54476298,"Bakery, Desserts, Fast Food",10.0,50.0,,,,30
62,ID_6967,39.97149012,-85.10478656,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",60.0,50.0,4.6,391.0,174.0,30
63,ID_2994,39.78608859,-85.51391817,Bengali,20.0,50.0,3.5,32.0,23.0,30
64,ID_6369,39.32966552,-85.46539025,"Bakery, Fast Food",20.0,50.0,3.3,39.0,11.0,30
65,ID_7768,39.72123107,-85.61547416,Fast Food,15.0,99.0,3.9,116.0,19.0,30
66,ID_134,39.66355779,-85.70068965,Desserts,10.0,50.0,3.4,22.0,9.0,45
67,ID_8414,39.74835955,-85.90493956,"Desserts, Beverages, American",20.0,50.0,3.9,51.0,29.0,45
68,ID_2216,39.59264057,-85.51534624,"Chinese, Thai",15.0,50.0,3.2,9.0,1.0,30
69,ID_2131,39.94383202,-85.75792858,"Chinese, Fast Food, Mughlai",30.0,50.0,3.7,128.0,30.0,45
70,ID_8057,39.85778082,-85.12994293,"Cafe, Continental, Fast Food",30.0,50.0,4.1,119.0,59.0,30
71,ID_3309,39.14680695,-85.43812391,"Chinese, Rolls",15.0,50.0,,,,30
72,ID_7722,39.95687758,-85.18973037,"North Indian, Fast Food",20.0,50.0,3.4,26.0,16.0,30
73,ID_3117,39.92103884,-85.06719759999999,"Mishti, Fast Food, South Indian",10.0,50.0,4.0,381.0,89.0,65
74,ID_6905,39.28679651,-85.76768119,"South Indian, North Indian, Chinese, Beverages",35.0,50.0,4.2,441.0,170.0,30
75,ID_3087,39.08513835,-85.07752799,"Fast Food, Bengali",10.0,50.0,,,,30
76,ID_207,39.54833494,-85.24905623,"Mithai, Street Food",10.0,50.0,3.7,62.0,10.0,30
77,ID_5095,39.50948504,-85.88419991,"Beverages, Desserts",10.0,50.0,3.6,7.0,4.0,30
78,ID_8233,39.19541646,-85.83185344,Fast Food,10.0,50.0,3.6,90.0,31.0,30
79,ID_6205,39.10429493,-85.25687474,Rolls,10.0,50.0,,,,30
80,ID_7753,39.57111405,-85.06931999,"European, Continental, North Indian, Desserts",75.0,50.0,4.3,3124.0,1660.0,45
81,ID_888,39.37777066,-85.4736907,"Biryani, Mughlai, North Indian",10.0,50.0,3.5,69.0,37.0,30
82,ID_164,39.17314653,-85.10999179999999,"North Indian, Mughlai",15.0,50.0,3.3,,,30
83,ID_2653,39.50901051,-85.82570309,"North Indian, Chinese",20.0,50.0,3.9,385.0,71.0,30
84,ID_2818,39.78082675,-85.55778348,"North Indian, Chinese",15.0,99.0,2.8,96.0,41.0,45
85,ID_7520,39.94668124,-85.18325402,"North Indian, Chinese",20.0,50.0,,,,45
86,ID_4849,39.24100187,-85.70933415,"Chinese, Pizza, Fast Food",15.0,50.0,3.7,55.0,20.0,30
87,ID_4179,39.66478804,-85.27301244,North Indian,20.0,50.0,3.3,9.0,5.0,30
88,ID_5321,39.57761635,-85.73713378,"Biryani, Hyderabadi, North Indian, Mughlai",10.0,50.0,2.6,,,30
89,ID_2376,39.8290004,-85.93120517,South Indian,5.0,50.0,3.5,12.0,2.0,30
90,ID_3147,39.37638564,-85.6029476,"Momos, Fast Food",15.0,50.0,3.5,85.0,40.0,30
91,ID_6452,39.16803142,-85.10071703,"Mithai, North Indian, South Indian, Chinese, Street Food",15.0,50.0,,,,30
92,ID_5076,39.76194520000001,-85.57936126,"South Indian, North Indian",10.0,50.0,3.7,27.0,5.0,30
93,ID_7738,39.77671709,-85.44054981,"Continental, Beverages, Desserts",20.0,50.0,,,,30
94,ID_4942,39.18524521,-85.17021406,"Fast Food, Ice Cream, Beverages",20.0,50.0,3.8,107.0,47.0,30
95,ID_3468,39.64833524,-85.62629733,Fast Food,10.0,50.0,3.3,13.0,4.0,30
96,ID_3797,39.68103152,-85.96604888,Fast Food,20.0,50.0,3.3,25.0,16.0,30
97,ID_6224,39.42686417,-85.48908376,Chinese,10.0,50.0,3.5,24.0,1.0,30
98,ID_1124,39.73842325,-85.88475452,"Burger, Fast Food",10.0,50.0,,,,30
99,ID_6637,39.00550966,-85.03997818,Mughlai,15.0,50.0,2.8,7.0,3.0,30
100,ID_8434,39.85621377,-85.79863499,Chinese,30.0,99.0,2.9,393.0,191.0,65
101,ID_2962,39.91420209,-85.35087349999999,"North Indian, Rolls, Chinese",20.0,50.0,3.9,348.0,105.0,30
102,ID_6091,39.95387767,-85.02931789,"Andhra, Biryani",20.0,50.0,3.4,15.0,7.0,30
103,ID_2198,39.4404387,-85.24962077,Street Food,10.0,50.0,4.1,260.0,100.0,65
104,ID_4654,39.839910100000004,-85.27466544,"Burger, Fast Food",20.0,50.0,3.9,326.0,106.0,30
105,ID_3712,39.93249086,-85.99246381,Street Food,10.0,50.0,3.5,18.0,8.0,30
106,ID_1858,39.13800708,-85.34919832,"North Indian, South Indian, Assamese, Maharashtrian, Bengali",20.0,50.0,,,,30
107,ID_4395,39.62526568,-85.69871441,"North Indian, Lucknowi",20.0,50.0,2.8,150.0,89.0,45
108,ID_3814,39.57945615,-85.281867,"Fast Food, Beverages",15.0,50.0,3.7,35.0,21.0,30
109,ID_7226,39.53340855,-85.82740285,North Indian,10.0,50.0,3.0,7.0,1.0,30
110,ID_2915,39.55404852,-85.70631456,North Indian,20.0,50.0,3.3,28.0,9.0,30
111,ID_5719,39.29004322,-85.26581427,Pizza,20.0,50.0,3.5,87.0,37.0,45
112,ID_1532,39.23931591,-85.24280484,"Chinese, Fast Food",15.0,50.0,3.5,187.0,65.0,30
113,ID_3539,39.90441069,-85.99210118,"Desserts, Ice Cream",10.0,50.0,2.6,28.0,13.0,30
114,ID_2677,39.01373357,-85.70063756,"North Indian, Chinese, Street Food",15.0,50.0,2.8,,,30
115,ID_1203,39.88801779,-85.18924812,Fast Food,15.0,50.0,3.0,4.0,,30
116,ID_4645,39.22084771,-85.03278242,"North Indian, Fast Food",30.0,50.0,3.5,15.0,7.0,30
117,ID_1210,39.42858533,-85.20761253,"Beverages, Cafe, Sandwich, Fast Food, Desserts",25.0,50.0,3.8,118.0,69.0,45
118,ID_7260,39.01859493,-85.48043225,"North Indian, Mughlai",15.0,50.0,,,,30
119,ID_1996,39.65036419,-85.70901558,North Indian,15.0,50.0,,,,30
120,ID_7796,39.34868386,-85.16214663,"Street Food, Beverages",10.0,50.0,,,,30
121,ID_1324,39.91827901,-85.98922282,Bakery,20.0,50.0,3.1,12.0,2.0,30
122,ID_1885,39.74895142,-85.70729255,North Indian,30.0,50.0,4.2,,,45
123,ID_2885,39.5435464,-85.18679656,"German, Italian, Cafe",45.0,50.0,4.3,4691.0,2547.0,45
124,ID_3351,39.14950349,-85.25127309999999,"North Indian, South Indian, Chinese, Arabian",35.0,50.0,3.1,89.0,10.0,30
125,ID_5223,39.78850907,-85.5055908,North Indian,10.0,50.0,3.9,70.0,9.0,30
126,ID_2093,39.6543456,-85.72041391,"North Indian, Mughlai",15.0,50.0,3.1,9.0,2.0,30
127,ID_5969,39.69471185,-85.99475034,Mithai,5.0,50.0,2.8,11.0,2.0,30
128,ID_4654,39.24297904,-85.30919376,"Burger, Fast Food",20.0,50.0,3.8,349.0,159.0,45
129,ID_8146,39.82756806,-85.30530302,"Finger Food, North Indian",30.0,50.0,3.0,6.0,1.0,30
130,ID_7674,39.39617399,-85.27029783,"North Indian, Chinese",25.0,99.0,4.5,143.0,110.0,65
131,ID_7677,39.33356397,-85.18352137,Bakery,15.0,50.0,3.2,7.0,3.0,30
132,ID_4484,39.20001943,-85.18549405,"Fast Food, Beverages",10.0,50.0,,,,30
133,ID_669,39.50670932,-85.24685413,"North Indian, South Indian, Fast Food, Beverages",15.0,50.0,3.6,81.0,42.0,30
134,ID_4064,39.02706528,-85.46473359999999,Street Food,5.0,50.0,3.7,63.0,36.0,45
135,ID_1181,39.76457091,-85.94239909,"Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",20.0,50.0,3.4,417.0,181.0,45
136,ID_4609,39.84686053,-85.16093401,"Street Food, Fast Food",15.0,50.0,3.4,20.0,16.0,30
137,ID_5401,39.74758059,-85.05253846,Chinese,15.0,50.0,4.2,124.0,109.0,30
138,ID_1215,39.10847827,-85.20806781,"Fast Food, Street Food, Momos",10.0,50.0,3.3,12.0,1.0,30
139,ID_1773,39.26540035,-85.48216432,"North Indian, Fast Food",20.0,50.0,2.9,47.0,10.0,45
140,ID_1452,39.42232062,-85.30285583,"Street Food, Fast Food",10.0,50.0,4.0,242.0,179.0,65
141,ID_5440,39.86541915,-85.21974523,"Italian, Beverages",30.0,50.0,3.5,12.0,5.0,30
142,ID_553,39.17656867,-85.11412483,Mughlai,15.0,50.0,3.4,9.0,2.0,30
143,ID_622,39.29635295,-85.77463462,Fast Food,10.0,50.0,,,,30
144,ID_6537,39.33842589,-85.05245608,"Biryani, North Indian, Mughlai, Kebab, Rolls",25.0,99.0,4.7,706.0,490.0,30
145,ID_6951,39.73504772,-85.63514556,South Indian,5.0,50.0,4.0,109.0,28.0,30
146,ID_8413,39.17786602,-85.93043892,Desserts,15.0,50.0,4.4,584.0,343.0,45
147,ID_5237,39.46381376,-85.84282636,"Fast Food, Rolls, Beverages",15.0,50.0,3.6,37.0,16.0,30
148,ID_1005,39.44419204,-85.84200597,"Street Food, Fast Food",15.0,50.0,4.3,253.0,118.0,30
149,ID_5181,39.59856885,-85.22711007,"North Indian, Chinese",15.0,50.0,3.4,123.0,37.0,30
150,ID_1766,39.11130285,-85.67338662,"Chettinad, North Indian, Seafood",20.0,50.0,4.1,1665.0,690.0,30
151,ID_6145,39.66011329,-85.04340273,"Ice Cream, Fast Food",15.0,50.0,3.3,9.0,3.0,30
152,ID_1972,39.69399226,-85.73634293,"Pizza, Burger, Fast Food, Desserts",20.0,50.0,3.9,191.0,72.0,45
153,ID_8614,39.00180264,-85.75861338,"Biryani, Mughlai",10.0,50.0,,,,30
154,ID_308,39.2486385,-85.86583989,"Chinese, South Indian, North Indian",25.0,50.0,3.0,4.0,2.0,30
155,ID_4468,39.38267148,-85.10729284,South Indian,15.0,50.0,3.5,40.0,6.0,30
156,ID_7468,39.41714904,-85.01070388,"North Indian, Street Food, Desserts",15.0,50.0,4.0,696.0,296.0,45
157,ID_7299,39.51315953,-85.43814981,"Bakery, Desserts",15.0,50.0,3.8,72.0,33.0,45
158,ID_4827,39.74187426,-85.97823426,"Chinese, Fast Food, North Indian, Momos",20.0,99.0,4.0,334.0,164.0,45
159,ID_8391,39.56907815,-85.69127696,"Cafe, Desserts",20.0,50.0,,,,30
160,ID_8049,39.28008133,-85.06996606,"North Indian, Mughlai, Momos",25.0,50.0,3.8,173.0,29.0,45
161,ID_1171,39.62323954,-85.73190646,Juices,10.0,50.0,3.1,5.0,2.0,30
162,ID_4137,39.05755093,-85.48767512,"Desserts, Beverages",20.0,50.0,4.1,62.0,50.0,30
163,ID_8129,39.95728594,-85.78271623,"Chinese, North Indian",10.0,50.0,3.8,85.0,27.0,30
164,ID_7583,39.57045542,-85.99243282,"Sandwich, Italian, Desserts",25.0,50.0,3.8,224.0,129.0,45
165,ID_5352,39.18302594,-85.48377028,Mughlai,20.0,50.0,,,,30
166,ID_6908,39.5415937,-85.90436351,North Indian,10.0,50.0,,,,30
167,ID_1316,39.60256378,-85.44360947,"Cafe, Italian",60.0,50.0,4.2,2653.0,1581.0,65
168,ID_3332,39.50980278,-85.81317119,"North Indian, Chinese",15.0,50.0,,,,30
169,ID_7412,39.38242655,-85.49986405,"North Indian, Chinese, Rolls",15.0,50.0,4.8,326.0,234.0,30
170,ID_8503,39.03108594,-85.91333604,"Bengali, Fast Food",30.0,50.0,3.5,90.0,45.0,45
171,ID_8382,39.80854209,-85.56866417,"North Indian, Street Food",20.0,50.0,3.9,175.0,59.0,45
172,ID_5921,39.68350135,-85.56374304,North Indian,15.0,50.0,3.1,4.0,,30
173,ID_463,39.24208924,-85.37933894,"Ice Cream, Desserts",20.0,50.0,4.1,,,30
174,ID_1460,39.961127399999995,-85.39974215,Mithai,10.0,50.0,3.3,15.0,7.0,30
175,ID_4202,39.24472701,-85.74167043,"Parsi, Bakery",20.0,50.0,4.0,4335.0,2363.0,30
176,ID_975,39.19960225,-85.39468573,"Japanese, Sushi",40.0,50.0,3.6,163.0,72.0,45
177,ID_8359,39.40821447,-85.2306036,"North Indian, Chinese",55.0,50.0,3.4,53.0,24.0,30
178,ID_6548,39.09530132,-85.28355119,"Beverages, Desserts, Ice Cream",15.0,50.0,2.9,6.0,2.0,45
179,ID_2002,39.85550184,-85.1841455,Rolls,5.0,50.0,3.1,6.0,2.0,30
180,ID_7261,39.59319619,-85.58713284,"North Indian, South Indian, Chinese, Fast Food",35.0,50.0,3.0,19.0,5.0,45
181,ID_7696,39.37885729,-85.1632968,"North Indian, Chinese",15.0,99.0,3.9,216.0,115.0,45
182,ID_4095,39.95669365,-85.99287673,"North Indian, Chinese",20.0,50.0,3.7,45.0,12.0,45
183,ID_5986,39.6172414,-85.87857241,"North Indian, Chinese",20.0,50.0,3.8,302.0,138.0,45
184,ID_7172,39.96086584,-85.85826794,North Indian,15.0,50.0,2.8,16.0,8.0,45
185,ID_2780,39.44554131,-85.0539755,"Fast Food, Chinese",20.0,50.0,3.1,76.0,36.0,45
186,ID_6441,39.25691399,-85.77568989,Street Food,10.0,50.0,3.1,4.0,1.0,30
187,ID_2164,39.72199336,-85.26211505,"Ice Cream, Fast Food, Beverages",15.0,50.0,,,,30
188,ID_2053,39.12204924,-85.74231609,South Indian,15.0,50.0,3.6,87.0,45.0,45
189,ID_1172,39.75808644,-85.0256734,Cafe,20.0,50.0,3.3,9.0,1.0,30
190,ID_3499,39.40960094,-85.79575013,"Chinese, Fast Food",10.0,50.0,3.2,12.0,7.0,30
191,ID_62,39.2781527,-85.51213762,"Chinese, Fast Food, North Indian, Mughlai",30.0,50.0,3.4,298.0,175.0,65
192,ID_5414,39.73447419,-85.6676522,Desserts,15.0,50.0,3.6,18.0,3.0,45
193,ID_7309,39.83404267,-85.96384913,"Fast Food, Street Food, Beverages",15.0,50.0,3.7,77.0,39.0,45
194,ID_1639,39.55576058,-85.03469752,"Fast Food, American",15.0,50.0,3.5,101.0,53.0,45
195,ID_3106,39.97414069,-85.13041294,"Fast Food, Mughlai",10.0,50.0,3.9,116.0,66.0,45
196,ID_2617,39.32309293,-85.5555206,"Fast Food, Biryani, Beverages",20.0,50.0,,,,30
197,ID_2041,39.16900616,-85.23023738,"Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",65.0,50.0,4.4,3248.0,1603.0,45
198,ID_2673,39.49687086,-85.10108978,"Chinese, North Indian",20.0,50.0,3.6,125.0,29.0,30
199,ID_7912,39.69136984,-85.98165258,"Pizza, Beverages",35.0,50.0,3.3,11.0,6.0,30
200,ID_3779,39.76189105,-85.80440431,"Beverages, Juices, Fast Food",10.0,50.0,3.6,31.0,15.0,30
201,ID_3683,39.93338583,-85.61524275,North Indian,15.0,50.0,3.0,4.0,1.0,30
202,ID_4508,39.37153329,-85.49585042,"Chinese, North Indian",15.0,50.0,3.1,192.0,50.0,45
203,ID_4878,39.88892074,-85.18747675,"Cafe, Continental, Italian",40.0,50.0,4.2,2828.0,1443.0,45
204,ID_2802,39.69826678,-85.71493875,"Bakery, Desserts",15.0,50.0,3.2,6.0,4.0,30
205,ID_2814,39.1756346,-85.83250275,"Japanese, Sushi, Asian",80.0,50.0,4.2,721.0,390.0,45
206,ID_188,39.50584154,-85.64310772,"North Indian, Mughlai",15.0,50.0,3.3,4.0,2.0,30
207,ID_4614,39.66594512,-85.18535852,"North Indian, Mughlai",20.0,50.0,3.7,66.0,42.0,30
208,ID_7647,39.46234282,-85.76016409,"Chinese, Fast Food, Momos",15.0,50.0,,,,30
209,ID_5499,39.25713091,-85.48716084,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",15.0,50.0,3.5,45.0,29.0,45
210,ID_7594,39.76375595,-85.61594279,Burger,20.0,50.0,,,,30
211,ID_6436,39.80036552,-85.47746046,South Indian,15.0,50.0,3.9,219.0,108.0,30
212,ID_4298,39.4179752,-85.19872789,"Salad, Beverages, Healthy Food, Desserts",20.0,50.0,3.5,36.0,24.0,65
213,ID_7158,39.2000858,-85.57600617,"Ice Cream, Cafe, Pizza, Burger, Beverages",20.0,50.0,4.5,2805.0,1457.0,45
214,ID_7750,39.38987618,-85.25071566,"Asian, Biryani, North Indian, Desserts",20.0,50.0,4.1,37.0,30.0,45
215,ID_7397,39.13506409,-85.52749596,"Continental, Burger, Wraps, Beverages",15.0,50.0,4.0,34.0,27.0,30
216,ID_5574,39.19495006,-85.20333741,"Fast Food, Chinese",15.0,50.0,,,,30
217,ID_4635,39.94109546,-85.89319597,Street Food,10.0,50.0,,,,30
218,ID_6659,39.13778347,-85.64076778,Chinese,10.0,50.0,,,,30
219,ID_621,39.15072708,-85.97615301,"Mithai, Street Food, Chinese",15.0,50.0,3.3,35.0,16.0,65
220,ID_7260,39.64050498,-85.06214071,"North Indian, Mughlai",15.0,50.0,,,,30
221,ID_5602,39.655727399999996,-85.61685088,"North Indian, Chinese",25.0,50.0,2.8,27.0,11.0,30
222,ID_7252,39.30274588,-85.22881832,"Tamil, Biryani, South Indian, Chettinad, North Indian, Chinese",25.0,50.0,3.9,163.0,112.0,30
223,ID_2879,39.55651432,-85.25544435,"South Indian, North Indian, Fast Food",20.0,50.0,3.7,182.0,107.0,45
224,ID_2637,39.48646962,-85.28672309999999,"Chinese, North Indian, Street Food",15.0,50.0,,,,30
225,ID_6278,39.22516297,-85.95871471,"Chinese, Cantonese",100.0,50.0,4.7,441.0,259.0,30
226,ID_4625,39.03212772,-85.37542576,"North Eastern, Momos, Fast Food, Beverages, Tibetan",10.0,50.0,2.9,,,30
227,ID_3176,39.71585139,-85.67012084,"Fast Food, Chinese",15.0,50.0,3.5,26.0,6.0,30
228,ID_6778,39.66336762,-85.23633025,Street Food,10.0,50.0,,,,30
229,ID_6312,39.37752057,-85.67963759999999,"Maharashtrian, South Indian, Chinese",15.0,50.0,3.3,12.0,7.0,30
230,ID_6002,39.76045015,-85.43283885,Bakery,5.0,50.0,3.2,11.0,1.0,30
231,ID_3655,39.79990658,-85.36537419,Mithai,10.0,99.0,3.9,60.0,15.0,45
232,ID_3288,39.83027348,-85.17769982,"North Indian, South Indian, Fast Food",10.0,50.0,,,,30
233,ID_6406,39.97208006,-85.59388866,"Biryani, Mughlai",10.0,50.0,3.6,353.0,53.0,30
234,ID_1059,39.43350401,-85.35182426,"Chinese, North Indian",10.0,50.0,,,,30
235,ID_8302,39.00676544,-85.44521732,"North Indian, Rolls",10.0,50.0,3.6,27.0,12.0,30
236,ID_6710,39.44003752,-85.30156625,"Pizza, Fast Food",15.0,50.0,3.7,43.0,9.0,30
237,ID_731,39.72516092,-85.79834239,Bengali,15.0,50.0,,,,30
238,ID_2132,39.054129499999995,-85.61080468,Fast Food,10.0,50.0,3.3,10.0,4.0,30
239,ID_3491,39.72568009,-85.56576247,"Chinese, Thai",20.0,50.0,3.5,13.0,9.0,30
240,ID_6264,39.49133839,-85.08672131,"North Indian, Chinese, Mughlai",30.0,50.0,3.4,47.0,25.0,30
241,ID_437,39.45146393,-85.54563707,"North Indian, Fast Food",10.0,50.0,3.3,10.0,,30
242,ID_6300,39.36411384,-85.95979724,"Mithai, Street Food",15.0,50.0,3.4,13.0,1.0,30
243,ID_7465,39.80772224,-85.06620497,"Tibetan, Chinese, Momos",25.0,50.0,4.2,633.0,269.0,45
244,ID_1148,39.42654039,-85.65616257,"Fast Food, Burger",15.0,50.0,3.5,23.0,6.0,30
245,ID_8026,39.77788859,-85.55905528,"Street Food, Fast Food, Beverages",15.0,50.0,3.4,13.0,10.0,45
246,ID_462,39.98479257,-85.45500416,Bakery,30.0,50.0,3.8,77.0,52.0,30
247,ID_2237,39.57368515,-85.96901208,"North Indian, Chinese",30.0,50.0,,,,30
248,ID_7266,39.978083700000006,-85.58520823,"North Indian, Fast Food, Chinese",20.0,50.0,,,,30
249,ID_1209,39.42730019,-85.48654647,"Cafe, Desserts",30.0,50.0,3.6,54.0,34.0,30
250,ID_3624,39.199033,-85.45164903,"Cafe, Fast Food",20.0,50.0,,,,30
251,ID_376,39.8943061,-85.06488272,"Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai",20.0,50.0,3.7,112.0,41.0,30
252,ID_3209,39.90051137,-85.39086400000001,"Fast Food, Healthy Food",10.0,50.0,,,,10
253,ID_6128,39.53644927,-85.74856886,"North Indian, Chinese",15.0,50.0,,,,30
254,ID_2947,39.48853199,-85.83505663,"North Indian, Chinese, Mughlai",25.0,50.0,3.6,76.0,38.0,30
255,ID_911,39.01774204,-85.69033819,Biryani,10.0,50.0,,,,30
256,ID_3342,39.14422024,-85.39256245,"North Indian, Chinese",20.0,50.0,,,,65
